date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:37	124365/124365	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:14%20GMT	https://colorlib.com/polygon/adminty/default/ready-form-booking-multi-steps.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-form-booking-multi-steps.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:38	119697/119697	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:14%20GMT	https://colorlib.com/polygon/adminty/default/ready-form-comment.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-form-comment.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:38	118624/118624	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:14%20GMT	https://colorlib.com/polygon/adminty/default/ready-form-contact.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-form-contact.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:38	129378/129378	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:15%20GMT	https://colorlib.com/polygon/adminty/default/ready-job-application-form.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-job-application-form.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:38	132886/132886	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:15%20GMT	https://colorlib.com/polygon/adminty/default/ready-js-addition-form.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-js-addition-form.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:39	116965/116965	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:15%20GMT	https://colorlib.com/polygon/adminty/default/ready-login-form.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-login-form.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:39	21968/21968	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:16%20GMT	https://colorlib.com/polygon/adminty/default/ready-popup-modal-form.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-popup-modal-form.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:39	119024/119024	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:16%20GMT	https://colorlib.com/polygon/adminty/default/ready-registration-form.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-registration-form.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:39	124667/124667	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:16%20GMT	https://colorlib.com/polygon/adminty/default/ready-review-form.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-review-form.html	(from https://colorlib.com/polygon/adminty/default/)
12:39:40	120770/120770	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:17%20GMT	https://colorlib.com/polygon/adminty/default/ready-subscribe-form.html	C:/xampp/htdocs/Adminity2/Aminity/colorlib.com/polygon/adminty/default/ready-subscribe-form.html	(from https://colorlib.com/polygon/adminty/default/)
